n,ConditionsOfInterest,Standard1,Standard2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,6,70,0,0.05,0,0.15,0.1,0.2,0.2,0.05,0.11,0,0.14,22.09640253
12,2,5,6,70,0,0.05,0,0.15,0.1,0.2,0.2,0,0.1,0,0.09,26.6559887
14,2,5,6,70,0,0.05,0,0.15,0.1,0.2,0.2,0.03,0.11,0.02,0.12,31.52061328
16,2,5,6,70,0,0.05,0,0.15,0.1,0.2,0.2,0,0.08,0,0.13,36.0956626
18,2,5,6,70,0,0.05,0,0.15,0.1,0.2,0.2,0.02,0.21,0,0.24,41.62742631
20,2,5,6,70,0,0.05,0,0.15,0.1,0.2,0.2,0.01,0.14,0.01,0.19,48.0473535
10,2,5,6,70,0,0.1,0,0.15,0.1,0.2,0.2,0.02,0.18,0,0.29,22.2130844
12,2,5,6,70,0,0.1,0,0.15,0.1,0.2,0.2,0.03,0.3,0,0.4,26.26147215
14,2,5,6,70,0,0.1,0,0.15,0.1,0.2,0.2,0.01,0.34,0.01,0.36,32.0474033
16,2,5,6,70,0,0.1,0,0.15,0.1,0.2,0.2,0.02,0.41,0,0.42,37.10784963
18,2,5,6,70,0,0.1,0,0.15,0.1,0.2,0.2,0.02,0.37,0,0.42,41.3186894
20,2,5,6,70,0,0.1,0,0.15,0.1,0.2,0.2,0.03,0.41,0,0.52,45.94302535
10,2,5,6,70,0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.2,0.34,0.07,0.33,22.45855708
